
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.4.5)

2025-05-22T12:31:40.814+07:00  INFO 94255 --- [BrainyBite] [           main] c.c.brainy_bite.BrainyBiteApplication    : Starting BrainyBiteApplication v0.0.1-SNAPSHOT using Java 23.0.2 with PID 94255 (/Users/pam/Documents/GitHub/BrainyBite/target/brainy-bite-0.0.1-SNAPSHOT.jar started by pam in /Users/pam/Documents/GitHub/BrainyBite)
2025-05-22T12:31:40.816+07:00  INFO 94255 --- [BrainyBite] [           main] c.c.brainy_bite.BrainyBiteApplication    : No active profile set, falling back to 1 default profile: "default"
2025-05-22T12:31:41.421+07:00  INFO 94255 --- [BrainyBite] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-22T12:31:41.472+07:00  INFO 94255 --- [BrainyBite] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 41 ms. Found 1 JPA repository interface.
2025-05-22T12:31:42.052+07:00  INFO 94255 --- [BrainyBite] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-05-22T12:31:42.072+07:00  INFO 94255 --- [BrainyBite] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-05-22T12:31:42.072+07:00  INFO 94255 --- [BrainyBite] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-05-22T12:31:42.096+07:00  INFO 94255 --- [BrainyBite] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-05-22T12:31:42.096+07:00  INFO 94255 --- [BrainyBite] [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1240 ms
2025-05-22T12:31:42.270+07:00  INFO 94255 --- [BrainyBite] [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-22T12:31:42.411+07:00  INFO 94255 --- [BrainyBite] [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.6.13.Final
2025-05-22T12:31:42.480+07:00  INFO 94255 --- [BrainyBite] [           main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2025-05-22T12:31:43.012+07:00  INFO 94255 --- [BrainyBite] [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-05-22T12:31:43.079+07:00  INFO 94255 --- [BrainyBite] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2025-05-22T12:31:46.023+07:00  INFO 94255 --- [BrainyBite] [           main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@26865b57
2025-05-22T12:31:46.033+07:00  INFO 94255 --- [BrainyBite] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2025-05-22T12:31:46.656+07:00  WARN 94255 --- [BrainyBite] [           main] org.hibernate.orm.deprecation            : HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-05-22T12:31:46.689+07:00  INFO 94255 --- [BrainyBite] [           main] org.hibernate.orm.connections.pooling    : HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 8.0.40
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-05-22T12:31:47.635+07:00  INFO 94255 --- [BrainyBite] [           main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-05-22T12:31:48.493+07:00  INFO 94255 --- [BrainyBite] [           main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-05-22T12:31:50.443+07:00  WARN 94255 --- [BrainyBite] [           main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-22T12:31:50.500+07:00  INFO 94255 --- [BrainyBite] [           main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page: class path resource [static/index.html]
2025-05-22T12:31:50.796+07:00  INFO 94255 --- [BrainyBite] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2025-05-22T12:31:50.815+07:00  INFO 94255 --- [BrainyBite] [           main] c.c.brainy_bite.BrainyBiteApplication    : Started BrainyBiteApplication in 10.25 seconds (process running for 10.847)
2025-05-22T13:18:15.226+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m28s221ms).
2025-05-22T13:34:12.951+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m27s690ms).
2025-05-22T13:36:46.913+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m28s872ms).
2025-05-22T13:39:07.333+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m50s397ms).
2025-05-22T15:34:39.119+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m30s647ms).
2025-05-22T16:03:15.680+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m6s320ms).
2025-05-22T16:53:27.104+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m10s931ms).
2025-05-22T17:47:24.919+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m27s491ms).
2025-05-22T18:45:25.233+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m29s957ms).
2025-05-22T19:00:55.821+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m30s594ms).
2025-05-22T19:05:02.639+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m6s806ms).
2025-05-22T22:27:37.676+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m29s979ms).
2025-05-22T22:32:25.200+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m47s532ms).
2025-05-23T00:51:57.393+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=30m31s298ms).
2025-05-23T01:07:32.922+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m35s543ms).
2025-05-23T01:23:03.727+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m30s803ms).
2025-05-23T01:38:34.538+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m30s812ms).
2025-05-23T01:54:05.318+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m30s780ms).
2025-05-23T02:09:35.926+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m30s608ms).
2025-05-23T03:23:10.399+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h13m34s473ms).
2025-05-23T03:38:41.132+07:00  WARN 94255 --- [BrainyBite] [l-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m30s733ms).
